Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2014, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,,
"Oct. 1, 2015",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel
The MASCO Building,Yes,Office,375 Longwood Avenue,02115," 83,307 ",137.1,Not Available,,"Office, Pre-school/Daycare, Restaurant, Retail Store",1992,925.2,11.1," 11,425,466 ",64%,36%,0%,21.68,,,,01996100
The Midtown Hotel,Yes,Hotel,220 Huntington Avenue,02115," 98,468 ",80.9,88,,"Hotel, Parking",1961,602.4,6.1," 7,967,771 ",31%,26%,0%,73.66,,,,0402304000
The Park Drive Condominium,Yes,Multifamily Housing,63-69 Park Drive,02115," 35,000 ",44.6,99,,Multifamily Housing,1925,102.9,2.9," 1,562,329 ",29%,71%,0%,40.11,,,,504253000
Warehouse,Yes,College/University,76 Atherton Street,02115," 140,197 ",45.2,Not applicable to this property type,,College/University,1910,373.7,2.7," 6,339,240 ",13%,87%,0%,3.44,,,,Not Available
Wentworth Institute of Technology,Yes,College/University,550 Huntington Ave.,02115," 1,289,491 ",85.9,Not applicable to this property type,,"College/University, Parking",1910,7411,5.7," 110,750,184 ",32%,68%,0%,18.82,,,,402024000 402025000 401826000 402037001 401810000 401833000 401832000 401831000 401830000 401815000 401814000 401812000 401811000 401816000 401817000 401819000 402044000 402045000 902907000 402031000 401822000
Westland Ave Apartments,Yes,Multifamily Housing,65 Westland Ave,02115," 114,949 ",47.4,99,,Multifamily Housing,1900,315.9,2.7," 5,452,208 ",11%,89%,0%,38.46,,,,0401512000
XII Stoneholm Condominium Trust,Yes,Multifamily Housing,12 Stoneholm St,02115," 118,301 ",29.6,96,,Multifamily Housing,1900,338.4,2.9," 3,497,713 ",100%,0%,0%,37.18,,,,0401404000
YMCA of Greater Boston - Huntington,Yes,Fitness Center/Health Club/Gym,316 Huntington Avenue,02115," 100,961 ",69141.5,Not applicable to this property type,,Fitness Center/Gym,2014,370990,3674.6," 6,980,595,000 ",0%,100%,0%,24.51,,Renovations were completed in October 2014. The property was fully operational during the 2014 calendar year. Energy usage for shared facilities with Northeastern University was split accordingly.,,0402245045 0402245042
10 St. James Ave.,Yes,Office,10 St. James Avenue,02116," 726,531 ",74.1,73,"2011, 2009, 2008, 2007","Financial Office, Office, Other, Parking",2001,4070.4,7.2," 42,073,293 ",100%,0%,0%,11.39,,,,0501152000
100 Arlington,Yes,Multifamily Housing,100 Arlington Street,02116," 203,204 ",54.2,36,,"Food Sales, Multifamily Housing",1926,872.3,4.3," 11,007,944 ",57%,33%,0%,10.36,,Using whole building data from NSTAR/Eversource and National Grid,,0500805000
100 Clarendon Street Garage,Yes,Other,100 Clarendon Street,02116," 843,168 ",21.1,Not applicable to this property type,,"Bank Branch, Medical Office, Other",1969,1698.5,2," 17,800,335 ",97%,3%,0%,1.42,,"This entire property is a garage, with the exception of two retail tenants on Dartmouth Street. ",,0401082001
116 Huntington,Yes,Office,116 Huntington Ave,02116," 307,473 ",61.8,84,2010,"Office, Parking, Retail Store",1990,1715.5,6," 17,731,724 ",100%,0%,0%,14.04,,,,0401013010
"12 Commonwealth Avenue, Boston, MA",Yes,Multifamily Housing,12 Commonwealth Avenue,02116," 42,860 ",99.4,69,,Multifamily Housing,1920,328.2,7.7," 4,260,400 ",13%,0%,0%,42.19,,,,Not Available
120 Herald Street,Yes,Other,120 Herald Street,02116," 115,680 ",2,Not applicable to this property type,,"Other, Parking",1967,22.5,0.2," 232,787 ",100%,0%,0%,,,this is a parking structure only.  There is no building associated.,,0500515000
137 Newbury Street,Yes,Office,137 Newbury St.,02116," 50,737 ",78.2,64,,Office,1929,319.6,6.3," 3,967,254 ",63%,37%,0%,15.92,,,,0501339000
140 Clarendon,Yes,Mixed Use Property,140 Clarendon Street,02116," 146,533 ",114.3,Not applicable to this property type,,"Barracks, Fast Food Restaurant, Hotel, K-12 School, Office, Other, Other - Lodging/Residential, Other - Services, Performing Arts, Self-Storage Facility, Social/Meeting Hall",1930,1389.4,9.5," 16,752,151 ",54%,0%,46%,40.37,,Property Gross Floor Area value is taken from Boston Tax Assessor Database Records. All property use gross floor area values are taken from Building Occupancy Plans.,,0401085000
175 Berkeley St. (0001),Yes,Office,175 Berkeley St.,02116," 522,349 ",82.9,Not Available,"2011, 2010, 2009, 2008","Office, Parking, Restaurant",1958,3335.7,6.4," 43,277,363 ",55%,45%,0%,8.30,,"6/2013 - New Conference Center Addition opens.
9/2013 - Major Bldg Renovation Project Underway.  Floors 3-10 (half of 9th Fl) are completely vacant.",,0501153000 0501155000
180 beacon condominium trust,Yes,Multifamily Housing,180 beacon street,02116," 210,000 ",69,52,,"Multifamily Housing, Parking",1968,834.8,4.6," 12,412,578 ",32%,68%,0%,,,,,Not Available
330 Beacon Street,Yes,Multifamily Housing,330 Beacon Street,02116," 138,000 ",52.8,80,,Multifamily Housing,1950,504.1,3.7," 7,287,105 ",37%,63%,0%,20.69,,,,Not Available
33787-Boston Copley Marriott,Yes,Hotel,110 Huntington Ave,02116," 863,000 ",90,57,,Hotel,1983,6418.4,7.4," 77,682,437 ",56%,6%,37%,43.67,,,,0400985100
380 Stuart Street,Yes,Office,380 Stuart Street,02116," 149,000 ",51,93,"2014, 2013, 2012, 2011, 2010, 2009",Office,1930,696.4,4.7," 7,595,489 ",83%,0%,17%,9.59,,LEED EBOM Project #1000006306,,0401131000
399 Boylston,Yes,Office,399 Boylston St,02116," 229,043 ",82.7,Not Available,,"Data Center, Office, Retail Store",1984,1833,8," 18,952,552 ",100%,0%,0%,8.85,,"***Data Center UPS output calculations are based upon the output kW as identified on the UPS system data screen capture.  This output is verified on a monthly basis to ensure accuracy of calculations.  

Cost saving measures implemented:

1. VFD's on Mammoth RTU supply and return fans.
2. VFD's on Mammoth RTU condensing fans.
3. VSD's on Trane supply fans.
4. VFD's on Firetrol domestic water pumps.
5. T12 to T8 base building lighting conversion.
6. Saturday HVAC demand request.
7. Occupancy sensors for office and common area.
8. Low flow .5 gpm aerators on bathroom fixtures.
9. RTU/fan powered box/VAV start-up time offset for peak demand reduction.
10. BMS compressor 2nd stage differential - no cost implementation.
11. OA Damper retrofit December 2013.
12. Migration from vertical screw Hartford compressors to horizontal screw Hanbell compressors 
      with better loading/unloading capabilities.",,0501230000
40 Berkeley Street,Yes,Hotel,40 Berkeley St,02116," 74,655 ",126.6,42,,Hotel,1899,565.7,7.6," 9,453,724 ",15%,85%,0%,44.52,,"Property gross floor area value is taken from data recorded on utility tracking program that Maloney utilizes, ""WegoWise"". Note gross floor area is listed as 67,624 sq ft on Boston Tax Assessor Database.",,0500865000
420 Boylston Street aka 414-426 Boylston Street && 211 Berkeley Street,Yes,Office,420 Boylston Street,02116," 128,641 ",59.4,88,,Office,1906,608.6,4.7," 7,640,733 ",61%,39%,0%,10.37,,"Please note for purposes of BERDO City of Boston reporting- for the electric- the BERDO aggregate electric data for the property was obtained from NSTAR.  For the 2013 reporting, the period entered for Water usage was 1/06/13-1/05/14 (171,850 cubic feet)  and for the 2014 reporting, the period entered was 1/05/14-1/04/15 (176,890 cubic feet) based on the billing cycles of BWSC.  For 2013, the period entered for Gas Usage was 1/3/13-1/8/14 (29,594 therms) and for 2014 was1/8/14-1/6/15 (29,393 therms) based on billing cycle from National Grid.  Although the majority of tenants in the office portion of the building are have normal operating hours of 45-50 hours per week,  the various retail tenants on the ground floor are opened 60-90 hours per week and their usage is also reflected in the total building data.",,0501157000
441 stuart st,Yes,Office,441 stuart st,02116," 155,408 ",70.7,Not Available,,"Fitness Center/Gym, Office",1937,905.9,5.8," 10,984,094 ",67%,33%,0%,19.59,,,,0401088000
501 Boylston,Yes,Office,501 Boylston Street,02116," 727,003 ",89.8,79,"2014, 2013, 2012, 2011, 2010, 2009, 2007, 2005","Bank Branch, Office, Other, Parking, Personal Services, Retail Store",1940,4511.4,6.6," 61,229,030 ",47%,53%,0%,14.37,,,,0501296002 0501296004 0501296006
543-547 Washington Street,Yes,College/University,543-547 Washington Street,02116," 146,942 ",73235.1,Not applicable to this property type,,College/University,2008,714879.5,4865," 10,761,312,160 ",0%,0%,100%,46.76,,"Temporary values were entered for detailed property use, definitive numbers will be updates as soon as they become available.",,0304839010
699 Boylston St,Yes,Office,699 Boylston St,02116," 211,351 ",59.2,65,,Office,1983,1210.1,5.7," 12,507,860 ",100%,0%,0%,10.03,,,,0501397000
745 Boylston Street,Yes,Office,745 Boylston Street,02116," 115,642 ",38,Not Available,,"Office, Other - Restaurant/Bar, Parking, Retail Store",1987,396.5,3.5," 4,287,631 ",90%,10%,0%,39.91,,,,0503207100
75 Arlington Street,Yes,Office,75 Arlington Street,02116," 269,327 ",61.7,89,,"Office, Other, Restaurant",1913,1458.8,5.4," 16,605,644 ",80%,20%,0%,9.56,,,,0501151000
"755 Boylston, LLC",Yes,Multifamily Housing,755 Boylston Street,02116," 54,384 ",125.7,Not applicable to this property type,,"Multifamily Housing, Restaurant",1860,525.8,9.7," 6,838,760 ",54%,46%,0%,,,,,0503207200
80 Boylston St./ The Little Building,Yes,Residence Hall/Dormitory,80 Boylston Street,02116," 216,877 ",Not Available,Not Available,,Residence Hall/Dormitory,1917,0,0, Not Available ,0%,0%,0%,,,,,0500001001
855 Boylston Street-Gateway Longwood,Yes,Office,855 Boylston,02116," 170,775 ",64.3,Not Available,2012,"Financial Office, Office, Parking, Retail Store",1985,968.7,6.2," 10,012,738 ",100%,0%,0%,9.90,,,,03134-000
ABRAHAM LINCOLN,Municipal,K-12 School,152 Arlington St.,02116," 80,364 ",48.6,97,,K-12 School,1911,234.2, 2.9 ," 3,908,774 ",16%,84%,0%,0.95,,,,
Ansin Building,Yes,College/University,180 Tremont St,02116," 98,744 ",2362.9,Not applicable to this property type,,College/University,1931,15762.7,159.6," 233,326,815 ",4%,0%,96%,11.95,,,,0304890100
Arlington Boylston,Yes,Office,330-350 Boylston Street,02116," 63,054 ",116.9,45,,"Office, Other, Retail Store",1899,544.8,8.6," 7,373,708 ",31%,15%,54%,11.67,,,,0501167000
Boston Common Hotel,Yes,Hotel,430 Stuart St.,02116," 84,180 ",106.6,8,,Hotel,1925,706.5,8.4," 8,971,015 ",41%,0%,59%,52.42,,,,0401084010
Boston Common Maitenance Shed,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",80 A Op Boylston St,02116, 100 ,Not Available,Not applicable to this property type,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2001,0, -   , Not Available ,0%,0%,0%,159.00,,,,
Boylston and Gloucester LLC,Yes,Retail Store,761 Boylston Street,02116," 55,720 ",323.3,Not applicable to this property type,,"Restaurant, Retail Store",1905,1327.1,23.8," 18,011,682 ",47%,53%,0%,,,,,0503210000
Brookline Bancorp,Yes,Financial Office,131 Clarendon Street,02116," 70,346 ",123.5,39,,Financial Office,1899,697.1,9.9," 8,686,029 ",62%,38%,0%,2146.29,,"We do have National Grid stopping by to check our meters in person, before they were estimates. This will help with consistent readings for 2015.",,4289436 
Bryant Back Bay,Yes,Other - Lodging/Residential,303 columbus ave,02116," 168,920 ",Not Available,Not applicable to this property type,,Other - Lodging/Residential,2009,Not Available,Not Available, Not Available ,0%,0%,0%,,,,,Not Available
Castle Square,Yes,Multifamily Housing,484 Tremont St,02116," 531,506 ",68.8,96,2014,Multifamily Housing,1965,2113.2,4," 36,581,893 ",11%,89%,0%,65.24,,,,050047800205005500010500590000
City Year,Yes,Office,287 Columbus Ave,02116," 64,540 ",71.1,79,2014,Office,1930,386.6,6," 4,590,565 ",71%,29%,0%,11.13,,The person count for the building was increased in 2014. ,,0400549000
Clarendon,Yes,Multifamily Housing,135 Clarendon Street / 400 Stuart Street,02116," 443,679 ",57.1,Not Available,,"Food Sales, Multifamily Housing, Parking, Retail Store",2009,1992.6,4.5," 25,319,289 ",59%,41%,0%,11.39,,,,0401129218
Clarendon and Berkeley Buildings,Yes,Financial Office,200 Berkeley St &&,02116," 1,624,928 ",62,89,"2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005",Financial Office,1922,8927,5.5," 100,826,616 ",73%,0%,27%,9736.61,,LEED-EBOM Project #1000006167,,0401115000
Colonial Theater,Yes,Performing Arts,98-106 Boylston Streeet,02116," 172,349 ",Not Available,Not applicable to this property type,,Performing Arts,1900,0,0, Not Available ,0%,0%,0%,23.06,,,,0500045000
"Community Development, Inc. (aka 95 Berkeley)",Yes,Office,21 Chandler St,02116," 125,054 ",71.4,86,,"Office, Parking",1899,595.4,5.8," 7,306,565 ",65%,35%,0%,8.82,,,,0500706000
Copley Branch (Johnson / McKim),Municipal,Library,700 Bolyston Street,02116," 500,000 ",131.7,Not applicable to this property type,,Library,2000,5249, 10.5 ," 65,867,371 ",44%,0%,56%,5.51,,,,
copley place,Yes,Not Available,100 huntington avenue,02116, Not Available ,112.7,Not applicable to this property type,,"Office, Other, Restaurant",1983,13284,10.8," 138,830,894 ",98%,2%,0%,169.48,,we provide chilled water to the Copley Westin Hotel and Copley Marriott Hotels . .  and electric and water consumption relates to those users NOT @ 100 HUntington Ave. ,,0400600020
Copley Square Hotel,Yes,Hotel,47 Huntington Ave,02116," 74,214 ",63.9,61,,Hotel,1891,456.8,6.2," 4,744,356 ",99%,1%,0%,67.35,,,,Not Available
Courtyard Boston Downtown,Yes,Hotel,275 Tremont St,02116," 375,000 ",61.9,80,,Hotel,1925,1665,4.4," 23,205,090 ",43%,57%,0%,32.21,,,,Not Available
Dudley Branch,Municipal,Library,65 Warren St,02116," 25,933 ",107.8,Not applicable to this property type,,Library,2000,191.7, 7.4 ," 2,794,772 ",35%,65%,0%,1.10,,,,
Engine 07,Municipal,Fire Station,200 Columbus Ave,02116," 11,376 ",122.4,Not applicable to this property type,,Fire Station,2000,132.6, 11.7 ," 1,392,474 ",97%,3%,0%,3.11,,,,
Exeter Theatre Corporation,Yes,Mixed Use Property,26 Exeter Street,02116," 46,025 ",54.9,Not Available,,"Office, Other - Education, Other - Restaurant/Bar",1899,240,5.2," 2,528,384 ",96%,4%,0%,104.25,,,,0501376000
Fairmont Copley Plaza Boston,Yes,Hotel,138 St. James Ave.,02116," 334,522 ",144.9,19,,Hotel,1985,3508.8,10.5," 48,470,130 ",44%,56%,0%,61.13,,,,0401087000
Five Hundred Boylston Street,Yes,Office,500 Boylston St.,02116," 994,537 ",68.7,70,"2014, 2010, 2009, 2008, 2002, 2000","Office, Parking",1987,4949.6,6.7," 51,161,170 ",100%,0%,0%,13.04,,,,0401092000
Four Seasons Place - Hotel/Condo Management,Yes,Hotel,200/220 Boylston Street,02116," 887,170 ",73.7,35,,"Hotel, Multifamily Housing, Parking",1980,4858.8,6.1," 58,828,923 ",60%,16%,23%,27.19,,,,Not Available
Garrison Condominium,Yes,Multifamily Housing,8 Garrison St,02116," 73,000 ",65.9,94,,Multifamily Housing,1900,288.5,4," 4,810,659 ",16%,84%,0%,31.40,,,,401011000
Garrison Square,Yes,Multifamily Housing,32 Garrison Street,02116," 115,806 ",57.3,Not Available,,Multifamily Housing,1985,641.8,5.5," 6,634,252 ",100%,0%,0%,45.36,,,,0400972000
Hancock Tower,Yes,Office,200 Clarendon Street,02116," 2,419,949 ",104.9,66,"2009, 2008, 2007, 2006, 2005","Office, Other, Parking",1976,20490,8.8," 244,920,741 ",57%,0%,43%,13.48,,,,0401134000
Hostelling International - Boston,Yes,Hotel,19 Stuart Street,02116," 65,000 ",203.2,19,,"Bank Branch, Hotel",2012,523.3,8.050769231," 13,206,004 ",35%,65%,0%,59.93,,,,0304925000
Liberty Mutual Tower,Yes,Office,157 Berkeley Street,02116," 848,712 ",89.3,84,,"Office, Parking, Restaurant",2013,5192.1,6.9," 67,619,900 ",54%,46%,0%,14.57,,,,0501149000 0501150000 0501148000
Loews Boston Hotel,Yes,Hotel,350 Stuart Street,02116," 172,000 ",125.9,36,,Hotel,2004,1546.7,9," 21,655,473 ",42%,58%,0%,45.85,,,,0401117000
