Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,electricity,3.1400,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,natural gas,1.0500,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,electricity solar,1.0000,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,steam,1.2000,,,,,
,,,,,,,,,,,,,,,,,source:,https://portfoliomanager.zendesk.com/hc/en-us/articles/216670148-What-are-the-Site-to-Source-Conversion-Factors-,,,,,
Boston,Yes,Financial Office,55 Thomson Pl,02210,81236,137.6,13,,Financial Office,1914,1081.4,13.3,11177302.6,100%,,,7.2,,"- Energy figures between January 2015 - June 2015 were estimated because we did not have access to electricity bills during that time. 
- We are a tenant who leases the whole building. ",,0602652003,"2014, 2015, 2016",35096730.1640
Boston Architectural College,Yes,Office,320 Newbury Street,02115," 49,494 ",59.9,89,,Office,1965,286.9,5.8," 2,965,941 ",100%,,,20.8,,,,0503062000,2016,9313053.7980
Boston Baptist College,Yes,Adult Education,950 Metropolitan Ave,02136," 40,425 ",84.5,Not Available,,Adult Education,1904,207.4,5.1," 3,416,949 ",17%,83%,,3.9,,,,1810945000,2016,4801837.7271
Boston Bowl,Yes,Other - Entertainment/Public Assembly,820 William T. Morrissey Blvd,02122," 45,096 ",127.3,Not Available,,"Other - Entertainment/Public Assembly, Parking",1959,445.0,9.9," 5,742,256 ",56%,44%,,12.2,,,,Not Available,2016,12750106.1106
Boston Center for the Arts,Yes,Performing Arts,539 Tremont St,02116," 127,619 ",65.3,Not Available,,Performing Arts,1948,499.3,3.9," 8,338,002 ",16%,84%,,439.3,,,,Not Available,"2014, 2016",11543130.1072
Boston Children's Hospital,Yes,Other - Specialty Hospital,300 Longwood Ave,02115," 2,264,503 ",475.6,Not Available,,"Other, Other - Specialty Hospital, Parking",1914,73790.8,32.6," 1,077,092,067 ",23%,,47%,28.6,,"Boston Children's Hospital is composed of numerous buildings constructed between 1914 through 2015. This is as of May 1, 2015

CHB MAIN property increased sq ft during 2014 by 117,345,  this is included in the total sq ft for CHB MAIN",,Not Available,"2014, 2015, 2016",1385355815.9323
Boston Children's Museum,Yes,Office,300 Congress Street,02110," 173,474 ",72.1,Not Available,,"Museum, Office",1880,1111.9,6.4," 12,515,201 ",82%,18%,,19.6,,,,Not Available,"2014, 2016",34589513.0766
Boston Chinese Evangelical Church,Yes,Worship Facility,120 Shawmut Ave,02118," 36,446 ",68.5,Not Available,,"Parking, Worship Facility",1985,153.3,4.2," 2,498,140 ",19%,81%,,1.8,,All information recorded are automatically transferred from utilities.  Added manually when called for to portray 12 months of data. Building was recently renovated first floor only using energy saving LED lighting.  Second and Third floor to follow once renovated.  ,,0306175000,2016,3615057.9599
Boston College   (BERDO),Yes,College/University,140 Commonwealth Ave,02467,3346233,84,Not Available,,College/University,1863,22472.0,6.7,280947908.8,57%,27%,16%,19.3,,"CY-2015 District Hot Water was estimated based on previous year due to a bad meter.

Below is a list of the eight (8) parcel ID for all of the Boston based properties 50,000 sq ft or greater.

2102443000
2102473001
2102464000
2205268030
2205268050
2205268080
2205268070
2102473001

",,2102473001,"2014, 2015, 2016",636431297.8046
Boston Common Hotel,Yes,Hotel,430 Stuart St.,02116," 84,180 ",98.4,12,,Hotel,1925,657.7,7.8," 8,286,290 ",43%,0%,57%,45.9,,,,0401084010,"2014, 2015, 2016",16855971.7283
Boston Common Ranger Station,Municipal,Other - Recreation,148 TREMONT ST,02111,862,197,Not Available,,Other - Recreation,2000,9,10.5,169800,,100%,,,,,,Not Available,2016,#VALUE!
Boston Common Visitor Center,Municipal,Other,Tremont St Vstr  /  West,02111,1234,111.2,Not Available,,Other,2000,13.3,10.8,137247.7,100%,,,,,,,Not Available,2016,#VALUE!
Boston Dedham Commerce Park,Yes,Other,65 Sprague ST,02136," 256,346 ",Not Available,Not Available,,Other,1940,Not Available,Not Available, Not Available ,,,,9.7,,,,Not Available,2016,#VALUE!
"Boston Flower Exchange, Inc.",Yes,Distribution Center,540 Albany St,02118," 77,000 ",89.2,65,,Distribution Center,1970,481.4,6.3," 6,867,435 ",39%,61%,,11.7,,,,0801055000,"2014, 2015, 2016",12808452.4590
Boston Maintenance Supply,Yes,Non-Refrigerated Warehouse,3380 Washington ST,02130," 35,000 ",23,72,,Non-Refrigerated Warehouse,1980,77.9,2.2," 805,345 ",100%,,,0.7,,,,Not Available,2016,2528782.6720
Boston Medical Center,Yes,Hospital (General Medical & Surgical),One Boston Medical Center Place,02118," 2,185,271 ",242.9,9,,"Hospital (General Medical & Surgical), Parking",1986,42969.3,19.7," 530,698,311 ",49%,2%,49%,38.7,,,,Not Available,"2014, 2015, 2016",1139727693.5626
BOSTON OPERA HOUSE,Yes,Performing Arts,539 WASHINGTON STREET,02111," 118,781 ",99.3,Not Available,,Performing Arts,1928,845.5,7.1," 11,799,529 ",43%,57%,,12.6,,,,Not Available,"2014, 2015, 2016",22993742.7469
Boston Prep,Yes,K-12 School,1286 Hyde Park Ave,02136," 39,000 ",60.5,89,,K-12 School,1960,146.3,3.8," 2,359,992 ",20%,80%,,13.3,,,,1809140010,2016,3464468.1092
Boston Redevelopment Authority,Yes,Office,c/o Newmark Knight Frank,02111," 102,710 ",30.2,100,,Office,1887,171.5,1.7," 3,105,897 ",5%,95%,,8.1,,,,0304908000,"2014, 2015, 2016",3585757.6247
BOSTON SOUTH BAY (1898),Yes,Retail Store,7 ALLSTATE RD,02125," 147,225 ",73.5,84,2012,"Parking, Retail Store",2004,921.1,6.3," 10,827,089 ",73%,27%,,13.7,,,,0703501010,"2014, 2015, 2016",27887332.3646
Boston Trinity Academy,Yes,K-12 School,17 Hale Street,02136," 53,000 ",51,98,,K-12 School,1956,143.9,2.7," 2,702,565 ",0%,100%,,11.8,,"We had an energy audit approximately 3 years ago and replace all our bulbs into either LED, or energy efficient florescent or lamp bulbs.

I used utility bills and for electric use I used actual consumption not multiplied by the 120 billing factor for 12 months use.",,1811281000,"2014, 2015, 2016",2837693.0400
Boston Water and Sewer Commission,Yes,Office,980 Harrison Avenue,02119," 430,000 ",46.4,90,,Office,2001,1637.4,3.8," 19,964,377 ",66%,34%,,4.9,265111,,,0901984010 0801982000 0801903010 0801981000,"2014, 2015, 2016",5292824452304.4800
BostonView Apartments,Yes,Multifamily Housing,130-140 Bowdoin St,02108," 209,103 ",6.7,100,,"Multifamily Housing, Parking",1965,135.0,0.6," 1,395,123 ",100%,,,13.1,,,,02811-000,"2015, 2016",4380684.6500
Bowdoin  Place Condominium,Yes,Multifamily Housing,10 Bowdoin Street,02114," 112,888 ",23.3,98,,Multifamily Housing,2004,254.8,2.3," 2,633,501 ",100%,,,18.7,,,,302726010,"2015, 2016",8269193.1400
Boylston,Yes,Multifamily Housing,1163 Boylston St,02215," 174,700 ",119.4,62,,Multifamily Housing,1920,1220.1,7.0," 20,864,734 ",12%,88%,,63.1,,,,0504178000,"2015, 2016",27140846.5075
BPD Backup Tower,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",64 Bellevue Hill Rd,02132,10200,8.6,Not Available,,Repair Services,1905,8.5,0.8,87783.9,100%,,,,,,,Not Available,2016,#VALUE!
BPHC Southampton Street,Municipal,Office,112 Southampton St,02118,44719,132.8,46,,Office,2000,392.7,8.8,5938868,30%,70%,,,,,,Not Available,2016,#VALUE!
BRA / EDIC,Municipal,Other,43 HAWKINS ST,02114,23408,259,Not Available,,Other,2000,386.1,16.5,6061739.4,24%,76%,,,,,,Not Available,2016,#VALUE!
BRADLEY,Municipal,K-12 School,110 Beachview Rd.,02128,33128,51.3,96,,K-12 School,1958,108.2,3.3,1698869.5,24%,76%,,,,,,Not Available,2016,#VALUE!
Bradley Properties,Yes,Multifamily Housing,75 Federal Street 4th Floor,02110," 67,500 ",16.8,100,,Multifamily Housing,1990,109.9,1.6," 1,135,636 ",100%,,,44.5,,,,306986000,"2015, 2016",3565897.6680
Braemore Condominium,Yes,Not Available,464-466 Commonwealth Avenue,02215, Not Available ,Not Available,Not Available,,,1982,385.4,Not Available," 5,279,677 ",46%,54%,,,,,,0503916000,"2014, 2015, 2016",10619541.5132
Brandywyne Village,Yes,Multifamily Housing,88 Brandywyne Drive,02128," 873,348 ",28.7,100,,Multifamily Housing,1900,1375.2,1.6," 25,091,346 ",4%,96%,,20.3,,,,0100534000,2016,28443549.8256
BrentonCorpLLC,Yes,Mixed Use Property,242-260 East Berkeley Street,02115," 52,520 ",21,Not Available,,"Bar/Nightclub, Manufacturing/Industrial, Office, Restaurant",1880,106.7,2.0," 1,103,093 ",100%,,,27.9,,,,Not Available,"2014, 2015, 2016",3463711.0780
Brewery Lofts,Yes,Multifamily Housing,251 Heath St Pub,02130," 86,900 ",60.7,81,,Multifamily Housing,1000,355.0,4.1," 5,278,890 ",32%,68%,,38.4,,,,1001480000,"2015, 2016",9073355.4445
"Brickpoint Properties, Inc.",Yes,Office,15 Court Square,02108," 81,986 ",51.9,96,,Office,1911,320.8,3.9," 4,257,368 ",51%,49%,,3.8,,,,0302866000,"2014, 2015, 2016",9008163.8933
Bright Hockey Center,Yes,Ice/Curling Rink,67 North Harvard Street,02134," 131,386 ",115.4,Not Available,,Ice Rink,1978,1130.5,8.6," 15,164,085 ",36%,22%,42%,5.8,,,,2200533000,"2014, 2015, 2016",28287083.4128
Brighton Branch,Municipal,Library,40 Academy Rd,02135,17208,115,Not Available,,Library,2000,128,7.4,1979302.1,27%,73%,,,,,,Not Available,2016,#VALUE!
Brighton Health Group,Yes,Senior Care Community,10 Bellamy St,02135,44640,120.8,Not Available,,Senior Care Community,1975,472.2,10.6,5394391,79%,21%,,95.2,,,,2203447000,"2015, 2016",14570789.5301
BRIGHTON HS,Municipal,K-12 School,25 Warren St.,02135,216213,40.4,95,,K-12 School,1930,565.4,2.6,8744040.9,26%,74%,,,,,,Not Available,2016,#VALUE!
Brighton Marine Health Center,Yes,Medical Office,77 Warren Street,02135,204504,96.1,Not Available,,Medical Office,1938,1356.5,6.6,19655997.4,34%,61%,,11.7,,,,2101829500,2016,33574409.1589
Brighton Place Condominium,Yes,Multifamily Housing,1625-1677 Commonwealth Avenue,02135," 270,000 ",69.4,96,,Multifamily Housing,1920,1044.2,3.9," 18,733,805 ",6%,94%,,36.3,,Data is for all 20 buildings utilities totaled in one meter each.,,2101925000,"2015, 2016",22019713.8093
BROMFIELD 44 LLC,Yes,Office,44 BROMFIELD STREET,02110," 44,766 ",80.9,88,,Office,1915,216.4,4.8," 3,621,110 ",15%,85%,,29.9,,,,304760000,2016,4937382.8033
Brooke Charter School Mattapan,Yes,K-12 School,150 American Legion Highway,02124," 47,866 ",38.1,77,,K-12 School,1911,176.3,3.7," 1,822,051 ",100%,,,8.7,,,,Not Available,2016,5721241.3960
Brooke Charter School Roslindale,Yes,K-12 School,190 Cummins Highway,02131," 63,221 ",32,93,,K-12 School,1916,150.8,2.4," 2,024,204 ",48%,50%,,15.2,,,,1903799000,"2014, 2015, 2016",4113588.1817
Brookline Bancorp,Yes,Financial Office,131 Clarendon Street,02116," 70,346 ",Not Available,Not Available,,Financial Office,1899,Not Available,Not Available, Not Available ,,,,,,"We do have National Grid stopping by to check our meters in person, before they were estimates. This will help with consistent readings for 2015.",,4289436 ,"2015, 2016",#VALUE!
BROOKLINE ICE,Yes,Other - Utility,225 SOUTHHAMPTON ST,02118," 2,000 ",5634.3,Not Available,,Other - Utility,1950,1090.2,545.1," 11,268,687 ",100%,,,4050.9,,,,Not Available,"2015, 2016",35383675.6100
Brown Kaplan,Yes,Multifamily Housing,754 Blue Hill Avenue,02121," 71,139 ",64.7,99,,"Multifamily Housing, Parking",1980,247.5,3.5," 4,601,834 ",2%,98%,,78.2,,,,14042660201404266030140426604014042660501404266060140426607014042660801404266090140426610014042661101404272010140427202014042900201404290010140427701014042770201404287010140427703014042770401404277050,"2015, 2016",5024282.2520
Building A,Yes,Office,17 Electric Avenue,02135," 8,324 ",58.4,61,,Office,1950,35.8,4.3," 486,154 ",47%,53%,,26.8,,,,2202671010,2016,988010.9774
Building B,Yes,Distribution Center,17 Electric Avenue,02135," 3,520 ",Not Available,Not Available,,Distribution Center,1950,0.0,0.0, Not Available ,,,,,,,,2202671010,2016,#VALUE!
Building C,Yes,Non-Refrigerated Warehouse,17 Electric Avenue,02135," 2,736 ",Not Available,Not Available,,Non-Refrigerated Warehouse,1950,0.0,0.0, Not Available ,,,,,,,,2202671010,2016,#VALUE!
Building D,Yes,Other - Services,17 Electric Avenue,02135," 6,660 ",Not Available,Not Available,,Other - Services,1950,0.0,0.0, Not Available ,,,,,,,,2202671010,2016,#VALUE!
Building E,Yes,Non-Refrigerated Warehouse,17 Electric Avenue,02135," 4,788 ",Not Available,Not Available,,Non-Refrigerated Warehouse,1950,0.0,0.0, Not Available ,,,,,,,,2202671010,2016,#VALUE!
Building F,Yes,Office,17 Electric Avenue,02135," 4,368 ",97.8,Not Available,,Office,1950,33.2,7.6," 427,306 ",56%,44%,,25.7,,,,2202671010,2016,948789.1322
"Buildings 1, 2, 3 & 4",Yes,College/University,650-665-677 Huntington Ave,02115," 534,676 ",267,Not Available,,College/University,1960,11107.3,20.8," 142,742,622 ",30%,1%,38%,1221.8,,"This property is being submitted as a roll-up of 4 different buildings within this Parcel. Profile includes the following buildings with combined total energy and water consumption:

665 Huntington Ave - Building #1
665 Huntington Ave - Building #2
650 Huntington Ave - Building #3
677 Huntington Ave - Building #4 ",,0401880000,2016,201052983.3687
Bunker Hill Mall - Reporting,Yes,Strip Mall,5-31 Austin Street,02129," 46,457 ",89.7,Not Available,,"Parking, Strip Mall",1985,391.1,8.4," 4,165,864 ",93%,7%,,84.6,,Boston Tax Parcel 0202210000,,0202210000,2016,12471346.4581
Burbank Apartments,Yes,Multifamily Housing,18 Haviland Street,02115," 130,700 ",41.2,100,,Multifamily Housing,1000,361.7,2.8," 5,391,092 ",32%,68%,,34.1,,,,0401401000,"2015, 2016",9266208.9296
Burden Hall,Yes,Performing Arts,39 Harvard Way,02163," 28,969 ",49,Not Available,,Performing Arts,1969,106.8,3.7," 1,418,894 ",29%,,71%,23.9,,"Water is allocated by gross square footage for this property, and does not represent actual usage

Burden Hall will be demolished in 2018.",,2200490000,"2014, 2015, 2016",2500941.8594
BURKE,Municipal,K-12 School,60 Washington St.,02121,202304,37.6,84,,K-12 School,1934,597.3,3,7605360.6,58%,42%,,0.4,,,,Not Available,2016,#VALUE!
Burroughs Wharf Condominium,Yes,Multifamily Housing,40 & 50 Battery Street,02109," 110,113 ",79.5,51,,Multifamily Housing,1993,566.8,5.1," 8,758,436 ",27%,73%,,25.1,,,,0303040000,"2015, 2016",14138743.8805
C Building,Yes,Laboratory,240 Longwood,02115," 136,368 ",209.6,Not Available,,Laboratory,1905,2145.7,15.7," 28,584,270 ",46%,0%,16%,24.1,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered.",,0401882000,"2014, 2015, 2016",46775299.7553
C-11 Station,Municipal,Police Station,40 Gibson St,02122,15339,171.7,Not Available,,Police Station,2000,191.5,12.5,2633113.8,45%,55%,,,,,,Not Available,2016,#VALUE!
C-6 Station,Municipal,Police Station,99 WEST BROADWAY,02120,15000,186.8,Not Available,,Police Station,2000,187.5,12.5,2801338.9,32%,68%,,,,,,Not Available,2016,#VALUE!
"Cahners,Cushing,kerr,Melvin Campus",Yes,College/University,90 The Fenway,02115," 99,293 ",114,Not Available,,College/University,1923,685.8,6.9," 11,318,109 ",17%,83%,,26.2,,,,Not Available,"2014, 2015, 2016",15905338.9993
Camelot Court,Yes,Multifamily Housing,10 Camelot Court,02135," 137,291 ",95.9,63,,Multifamily Housing,1900,799.0,5.8," 13,167,037 ",17%,83%,,45.8,,,,2101267000,"2015, 2016",18503637.0961
Camfield Estates,Yes,Multifamily Housing,112 Camden Street,02118," 113,315 ",126.1,15,,Multifamily Housing,1998,874.8,7.7,"14,292,516.9",19%,81%,,82.1,,,,0901220000,"2015, 2016",20682701.2060
Campbell Resource Center,Municipal,K-12 School,1216 Dorchester Ave.,02125,97349,74,37,,K-12 School,2000,535.5,5.5,7205131.6,49%,51%,,,,,,Not Available,2016,#VALUE!
Campus Center and Student Residence,Yes,Residence Hall/Dormitory,150 Riverway,02215," 58,000 ",105.5,83,,Residence Hall/Dormitory,2008,325.0,5.6," 6,117,873 ",0%,100%,,3.3,,,,0402000000,"2015, 2016",6423766.3350
Cap Long Wharf,Yes,Office,66 Long Wharf,02110," 70,000 ",16,100,,Office,1900,69.6,1.0," 1,117,462 ",64%,,,40.7,,,,Not Available,"2014, 2016",2245650.8314
Cardinal Cushing Library,Yes,Library,398 The Fenway,02115," 51,782 ",100.6,Not Available,,Library,1964,368.2,7.1," 5,208,367 ",40%,60%,,14.2,,"Main reading room, computer lab, classrooms, faculty and staff office spaces.

Between October 2014 and January 2015, we upgraded 486 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 90,000 kWh in this building.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html",,0401847000,"2014, 2015, 2016",9822979.7848
Carney Hospital,Yes,Hospital (General Medical & Surgical),2100 Dorchester Avenue,02124,540000,191.8,74,,Hospital (General Medical & Surgical),1953,7265.9,13.5,103588915.8,39%,61%,,57.2,,,,1605017010,"2014, 2015, 2016",193203686.8586
Carson Tower,Yes,Multifamily Housing,1410 Columbia Road,02127," 116,876 ",90.6,Not Available,,Multifamily Housing,1973,562.2,4.8," 10,585,077 ",,100%,,,,,,Not Available,"2015, 2016",11114330.9550
CARTER,Municipal,K-12 School,396 Northampton St.,02118,14435,105.7,2,,K-12 School,1900,147.6,10.2,1525164,100%,,,,,,,Not Available,2016,#VALUE!
Casa Maria Apartments LP,Yes,Multifamily Housing,130 Endicott Street ,02113," 95,176 ",72.9,55,,Multifamily Housing,1980,431.6,4.5," 6,937,077 ",21%,79%,,24.6,,,,0301498000,"2015, 2016",10328613.3497
Castle Square,Yes,Multifamily Housing,484 Tremont St,02116," 531,506 ",79.6,68,2014,Multifamily Housing,1965,2714.7,5.1," 42,316,338 ",25%,75%,,65.2,,,,050047800205005500010500590000,"2015, 2016",66542440.8760
Cathedral of the Holy Cross,Yes,Worship Facility,1400 Washington Street,02118," 80,974 ",73.6,43,,Worship Facility,1875,320.9,4.0," 5,955,864 ",2%,98%,,0.5,,,,0801111000,"2015, 2016",6502611.8785
Catherine Clark: Catherine Clark,Yes,Multifamily Housing,915 Dorchester Avenue,02125," 74,185 ",93.6,33,,Multifamily Housing,1977,463.5,6.2," 6,945,032 ",31%,69%,,56.5,,Basement square footage estimated ,,1301910000,"2015, 2016",11791970.5120
CBRE - 101 Arch St,Yes,Office,101 Arch Street,02110," 473,896 ",73.4,80,"2015, 2013, 2012, 2011, 2010, 2009","Fast Food Restaurant, Food Service, Office, Parking, Restaurant",1988,3301.2,7.0," 34,767,217 ",96%,4%,,16.9,,,,0304597000,"2014, 2015, 2016",106262521.4275
CCC,Yes,Other,50 Terminal St,02129," 403,000 ",34.8,Not Available,,Other,1920,1116.8,2.8," 14,030,093 ",61%,39%,,1.5,,,,Not Available,"2014, 2016",32618562.2857
Center Plaza,Yes,Office,1 Center Plaza,02108," 741,232 ",75.7,87,2015,"Bank Branch, Office, Parking, Retail Store",1963,4653.7,6.3," 56,141,422 ",68%,32%,,9.7,,"This property is identified as 3 buildings for tax purposes.  However, it is actually one physical building and is benchmarked as such.  The other two tax parcel numbers are:

Center Plaza 1 - 0302713000
Center Plaza 2 - 0302715000
Center Plaza 3 - 0302717000
(JL April 2014)

The building has one 600 Sq Ft ""IT room"" but is not currently configured to benchmark this as data center space per ENERGY STAR requirements. (JL - 6/3/2014)

10/14/2014 - Retail space benchmarked (JL)

4/20/2016 - Profile updated based on new building measurements from file ""Center Plaza ENERGY STAR Sq Footage UPDATE 4.15.16"".  Back-up of old profile saved as ""Center Plaza ENERGY STAR Profile Back-Up - 2016-04-20.xls"".  (JL)",,0302713000 0302715000 0302717000,"2014, 2015, 2016",138736682.5406
Central Boston Elder: 2311 Washington st,Yes,Multifamily Housing,2311 Washington st,02119," 49,588 ",71.8,39,,Multifamily Housing,2012,259.1,5.2,"3,560,269.0",45%,55%,,32.7,,,,0903130010,"2015, 2016",7086715.4445
Central Kitchen ELC,Municipal,K-12 School,370 Columbia Road,02125,17250,31.8,91,,K-12 School,1970,53,3.1,547830.8,100%,,,,,,,Not Available,2016,#VALUE!
